lexicon,n_poetry,n_prose,mean_poetry,mean_prose,MWU_U,p_raw,cliffs_delta,p_holm,significant_0_05,matching_mode,run_id,topn
physical_desire,34,140,0.0015308935701754344,0.0004735752516974718,4005.5,6.92859672581121e-10,0.6829831932773109,3.4642983629056053e-09,True,lemma_only,A,20
love_and_desire,34,140,0.0019110575551178912,0.0006979759600911618,3932.5,3.847081525018234e-09,0.6523109243697479,1.5388326100072936e-08,True,lemma_only,A,20
lesbian_love,34,140,0.0003850483633528923,0.00025867851458527785,2869.0,0.06364056402241856,0.20546218487394957,0.19092169206725568,False,lemma_only,A,20
love,34,140,0.0003850483633528923,0.00025867851458527785,2869.0,0.06364056402241856,0.20546218487394957,0.19092169206725568,False,lemma_only,A,20
sapphism,34,140,0.0,0.0,2380.0,1.0,0.0,1.0,False,lemma_only,A,20
physical_desire,34,140,0.0029039527788952794,0.0009931475263237571,4106.0,5.78748613284529e-11,0.7252100840336134,2.893743066422645e-10,True,lemma_only,B,40
love_and_desire,34,140,0.0034824397734269344,0.001417264310902818,4071.0,1.396446485387311e-10,0.7105042016806723,5.585785941549244e-10,True,lemma_only,B,40
lesbian_love,34,140,0.0005938436723080009,0.0004858984489881152,2608.0,0.3878671672526922,0.0957983193277311,1.0,False,lemma_only,B,40
love,34,140,0.0005938436723080009,0.0004858984489881152,2608.0,0.3878671672526922,0.0957983193277311,1.0,False,lemma_only,B,40
sapphism,34,140,0.0,0.0,2380.0,1.0,0.0,1.0,False,lemma_only,B,40
physical_desire,34,140,0.003842796871409789,0.0014266548884919333,4178.0,8.953107047111538e-12,0.7554621848739496,4.476553523555769e-11,True,lemma_only,C,60
love_and_desire,34,140,0.0048474333060733055,0.0019702101861746417,4126.0,3.471731362455496e-11,0.7336134453781512,1.3886925449821983e-10,True,lemma_only,C,60
lesbian_love,34,140,0.0011296210626133038,0.0006540774923402027,3319.5,0.000365288611011337,0.39474789915966385,0.0010958658330340108,True,lemma_only,C,60
love,34,140,0.0011296210626133038,0.0006540774923402027,3319.5,0.000365288611011337,0.39474789915966385,0.0010958658330340108,True,lemma_only,C,60
sapphism,34,140,0.0,0.0,2380.0,1.0,0.0,1.0,False,lemma_only,C,60
physical_desire,34,140,0.0015308935701754344,0.0004735752516974718,4005.5,6.92859672581121e-10,0.6829831932773109,3.4642983629056053e-09,True,lemma_plus_surface_backoff,A,20
love_and_desire,34,140,0.0019110575551178912,0.0006979759600911618,3932.5,3.847081525018234e-09,0.6523109243697479,1.5388326100072936e-08,True,lemma_plus_surface_backoff,A,20
lesbian_love,34,140,0.0003850483633528923,0.00025867851458527785,2869.0,0.06364056402241856,0.20546218487394957,0.19092169206725568,False,lemma_plus_surface_backoff,A,20
love,34,140,0.0003850483633528923,0.00025867851458527785,2869.0,0.06364056402241856,0.20546218487394957,0.19092169206725568,False,lemma_plus_surface_backoff,A,20
sapphism,34,140,0.0,0.0,2380.0,1.0,0.0,1.0,False,lemma_plus_surface_backoff,A,20
physical_desire,34,140,0.0029039527788952794,0.0009931475263237571,4106.0,5.78748613284529e-11,0.7252100840336134,2.893743066422645e-10,True,lemma_plus_surface_backoff,B,40
love_and_desire,34,140,0.0034824397734269344,0.001417264310902818,4071.0,1.396446485387311e-10,0.7105042016806723,5.585785941549244e-10,True,lemma_plus_surface_backoff,B,40
lesbian_love,34,140,0.0005938436723080009,0.0004858984489881152,2608.0,0.3878671672526922,0.0957983193277311,1.0,False,lemma_plus_surface_backoff,B,40
love,34,140,0.0005938436723080009,0.0004858984489881152,2608.0,0.3878671672526922,0.0957983193277311,1.0,False,lemma_plus_surface_backoff,B,40
sapphism,34,140,0.0,0.0,2380.0,1.0,0.0,1.0,False,lemma_plus_surface_backoff,B,40
physical_desire,34,140,0.003842796871409789,0.0014266548884919333,4178.0,8.953107047111538e-12,0.7554621848739496,4.476553523555769e-11,True,lemma_plus_surface_backoff,C,60
love_and_desire,34,140,0.0048474333060733055,0.0019702101861746417,4126.0,3.471731362455496e-11,0.7336134453781512,1.3886925449821983e-10,True,lemma_plus_surface_backoff,C,60
lesbian_love,34,140,0.0011296210626133038,0.0006540774923402027,3319.5,0.000365288611011337,0.39474789915966385,0.0010958658330340108,True,lemma_plus_surface_backoff,C,60
love,34,140,0.0011296210626133038,0.0006540774923402027,3319.5,0.000365288611011337,0.39474789915966385,0.0010958658330340108,True,lemma_plus_surface_backoff,C,60
sapphism,34,140,0.0,0.0,2380.0,1.0,0.0,1.0,False,lemma_plus_surface_backoff,C,60
