word,tfidf_poetry,tfidf_prose,diff_poetry_minus_prose,characteristic_of
ame,0.037793060627109444,0.008644725858493603,0.029148334768615843,poetry
mer,0.0328116821875116,0.005609060307910251,0.027202621879601346,poetry
ombre,0.029453855647760672,0.006847970393923025,0.022605885253837648,poetry
mort,0.028764486729255537,0.008553647374647583,0.020210839354607955,poetry
soir,0.03066173700037214,0.010664731880490082,0.01999700511988206,poetry
amour,0.03492576422931846,0.01496619951845212,0.019959564710866337,poetry
lune,0.023208933245111415,0.003733118966010586,0.01947581427910083,poetry
fleurs,0.025096280937060057,0.006302255681131361,0.018794025255928694,poetry
encor,0.018513947972257153,3.6238063404127964e-05,0.018477709908853026,poetry
cœur,0.028932255340554623,0.01132323920588477,0.017609016134669853,poetry
lys,0.017634646546865355,0.0006660710857930727,0.016968575461072284,poetry
vent,0.022137118312640886,0.005263682204039979,0.016873436108600908,poetry
nuit,0.027688793768696932,0.010917118725100195,0.016771675043596737,poetry
roses,0.021249826304119653,0.004890146426913649,0.016359679877206004,poetry
doux,0.020657094096292225,0.004623326774229981,0.016033767322062242,poetry
reve,0.02050747875299643,0.0046532160752100855,0.015854262677786345,poetry
psappha,0.015836926067110572,0.0003084157439134892,0.015528510323197083,poetry
automne,0.016422154320349203,0.0019924517442069527,0.014429702576142251,poetry
yeux,0.0343939582234266,0.019972425637761262,0.014421532585665336,poetry
soleil,0.02040160013897647,0.006810654911114889,0.013590945227861584,poetry
chant,0.015351419224844908,0.001838044006626487,0.013513375218218422,poetry
eau,0.021981555176945403,0.008550500573498614,0.013431054603446789,poetry
morts,0.01537892933800076,0.0019883322953006383,0.013390597042700122,poetry
ciel,0.01924960230576326,0.006478503775582618,0.01277109853018064,poetry
vierge,0.014101110828396435,0.0019334859547074435,0.012167624873688991,poetry
front,0.017804559743880836,0.005743961082274308,0.012060598661606529,poetry
flots,0.012307416043895137,0.0007033987615284695,0.011604017282366668,poetry
eranna,0.011503137448695678,6.226460419756889e-05,0.01144087284449811,poetry
chante,0.013284435895909432,0.0019438014558413852,0.011340634440068047,poetry
baiser,0.01485178574574527,0.00390272408981926,0.010949061655926011,poetry
petite,0.0037113857560342775,0.01842967749089282,-0.014718291734858543,prose
encore,0.007504322231020273,0.021073897270628004,-0.01356957503960773,prose
faire,0.002798425087670334,0.015751979889669573,-0.01295355480199924,prose
deux,0.009622064792602412,0.02172631160687695,-0.012104246814274537,prose
petit,0.005213826679189845,0.01716060879971452,-0.011946782120524677,prose
minne,0.0,0.011522193018608311,-0.011522193018608311,prose
homme,0.004846618047239006,0.015640632211947537,-0.010794014164708533,prose
stephen,0.0,0.010605231541498781,-0.010605231541498781,prose
jeune,0.005310034326715761,0.015621489864535307,-0.010311455537819546,prose
fois,0.004275554870119475,0.014183167416148971,-0.009907612546029496,prose
dire,0.0034893766637939757,0.013212984812889454,-0.009723608149095479,prose
madame,0.0005072834034022417,0.00972632842502647,-0.009219045021624229,prose
fille,0.004809740289210919,0.013803675901691237,-0.008993935612480318,prose
mme,0.0,0.008879365757078603,-0.008879365757078603,prose
oui,0.0049421157605535355,0.013750501927402833,-0.008808386166849298,prose
tete,0.005434513031582631,0.014210816059621692,-0.008776303028039062,prose
mere,0.004072864873631347,0.012795063283115178,-0.008722198409483831,prose
assez,0.0011586650313130228,0.009862653593150375,-0.008703988561837352,prose
ans,0.0024906782329854565,0.010955990871800842,-0.008465312638815385,prose
antoine,0.0,0.00811426879975035,-0.00811426879975035,prose
fit,0.0022493104777895775,0.01023295250985847,-0.007983642032068892,prose
presque,0.002415794049226764,0.010317702035918369,-0.007901907986691605,prose
alors,0.004732543279693579,0.012265351255225525,-0.007532807975531947,prose
pere,0.003020153285783709,0.010547294319258613,-0.0075271410334749045,prose
trop,0.00769304413871539,0.014964351820257384,-0.007271307681541993,prose
chambre,0.003567811017691416,0.010720934673392515,-0.007153123655701098,prose
mary,0.0,0.007092061867647081,-0.007092061867647081,prose
eva,0.0,0.00707407012232322,-0.00707407012232322,prose
moment,0.0023105968723804004,0.00936643648250446,-0.00705583961012406,prose
mari,0.00033470592200813545,0.0072600029178286314,-0.006925296995820496,prose
